"geo_label_city","geo_fips_code","date_label","COVID-19 Deaths","Diabetes Deaths","Deaths from All Causes","Life Expectancy","Uninsured, All Ages","Uninsured, Child","Dental Care","Prenatal Care","People with Disabilities","Teen Asthma","All Cancer Deaths","Breast Cancer Deaths","Lung Cancer Deaths","Cardiovascular Disease Deaths","Heart Disease Deaths","High Blood Pressure","Diabetes","Adult Obesity","Teen Obesity","Adult Physical Inactivity","Teen Physical Activity Levels","Teen Physical Inactivity","Teen Physical Education","Teen Computer Time","Teen TV Time","Teen Soda","Teen Breakfast","Flu Vaccinations, Medicare","Pneumonia or Influenza Deaths","New Tuberculosis Cases","HIV-Related Deaths","HIV/AIDS Prevalence","New Chlamydia Cases","Syphilis Prevalence","Syphilis, Newborns","New Gonorrhea Cases","Maternal Deaths","Infant Deaths","Low Birthweight","Teen Births","Teen Birth Control","Opioid Overdose Deaths","Adult Binge Drinking","Drug Overdose Deaths","Adult Smoking","Teen Smoking","Teen Alcohol","Teen Marijuana","Adult Mental Distress","Suicide","Teen Mental Distress","Teen Suicidal Ideation","Electronic Bullying","School Bullying","Child Lead Testing","Child Lead Levels 5+ mcg/dL","Child Lead Levels 10+ mcg/dL","Housing Lead Risk","Injury Deaths","Gun Deaths (Firearms)","Motor Vehicle Deaths","Police Killings","Racial Disparity in Police Killings","Violent Crime","Homicides","Weapons in School","Fighting in School","Vacant Housing Units","Owner Occupied Housing","Renters vs. Owners","Preschool Enrollment","College Graduates","Poverty in All Ages","Poverty and Near Poverty in All Ages","Poverty in Children","Per-capita Household Income","Households with Higher-Incomes","Public Assistance","Unemployment","Service Workers","Excessive Housing Cost","Household Income Inequality","Income Inequality","Racial Segregation, White and Non-White","Racial Segregation, White and Black","Racial Segregation, White and Asian","Racial Segregation, White and Hispanic","Limited Supermarket Access","Walking to Work","Riding Bike to Work","Lack of Car","Public Transportation Use","Drives Alone to Work","Longer Driving Commute Time","Poor Air Quality","Hazardous Air Quality","Single-Parent Families","Population Density","Children","Seniors","Minority Population","Primarily Speak English","Primarily Speak Chinese","Primarily Speak Spanish","Foreign Born Population","Homelessness, Non-White","Homelessness, Children","Homelessness and Vacant Housing","Colorectal Cancer Deaths","Prostate Cancer Deaths","Preterm Births","Premature Death","COVID-19 Vaccination, Adults","COVID-19 Vaccination, Seniors"
"Long Beach",643000,2014,NA,25.39368244,734.2438342,79.41687728,19.30764453,7.525564877,59.5,83.85439682,9.794794763,NA,159.0376013,21.98294748,33.72857832,265.9464611,205.529566,26.7,10.2,26,NA,23.4,NA,NA,NA,NA,NA,NA,NA,41,25.18074555,6.2,4.580468025,559.9,544.8,12,24.6,152.1,NA,4.051356907,7.605101559,22.7236925,NA,3.591106956,16.1,10.66380925,16.1,NA,NA,NA,13.1,11.69546962,NA,NA,NA,NA,NA,1.226993865,0.150244147,35.97819052,26.7071953,9.983821246,7.847180513,1.874560817,3.435853238,489.0442623,7.399045628,NA,NA,6.512488331,40.17288277,1.489241327,50.71777308,28.97286918,20.71212187,42.84892024,28.86657077,27014,52.72679377,12.83265536,12.08765624,39.22184484,NA,-0.005942462,0.4739,55.53446064,58.84161389,53.06176828,59.0133871,19.74365593,2.707520838,1.096390609,10.97823956,7.246501491,73.41372257,NA,93.42465753,29.31506849,15.40445501,9317.205275,24.40769621,9.806570293,71.94138209,NA,NA,NA,26.13755191,NA,NA,NA,13.00471131,26.70925458,NA,5653.796811,NA,NA
"Kansas City",2938000,2014,NA,22.76009449,805.5743861,76.86405237,16.35003441,7.792030816,55.7,65.94093239,12.53025754,NA,178.0139427,23.10843126,53.06281567,228.9498659,167.5562193,32.3,11.3,34.6,NA,25.5,NA,NA,NA,NA,NA,NA,NA,47,15.5744981,1.8,3.059332488,448.7,741.9,25.3,0,257.1,28.39598197,6.279088981,8.728750234,36.23893375,NA,8.39280761,15.1,16.50829125,22.7,NA,NA,NA,12.8,17.08164874,NA,NA,NA,NA,26.34771843,1.335839431,0.275223199,28.84495973,46.59599362,24.81658736,9.657468279,1.798916127,0.895535646,1251.449029,19.24498902,NA,NA,14.48790051,55.44945773,0.803444147,42.50317188,31.55422192,19.35366708,39.69761946,28.88164035,27282,46.40532368,15.73659614,9.118562903,36.81974323,NA,-0.100612555,0.4794,51.56109061,62.51717061,38.88063102,47.63268572,68.04183609,2.154130686,0.386867933,11.12972578,3.318755054,80.0021443,NA,48.49315068,13.69863014,13.99747924,1476.439821,23.76189503,11.54202643,44.90403329,NA,NA,NA,7.615186933,NA,NA,NA,13.9540559,25.12980251,NA,7694.665398,NA,NA
"Indianapolis",1836003,2014,NA,24.12470028,921.5010769,75.59709231,16.76287556,8.607129909,59.9,67.31911255,13.36875662,NA,201.0090856,21.91738824,62.18309571,257.9840463,196.3768928,31.8,10.7,34.6,NA,27.2,NA,NA,NA,NA,NA,NA,NA,50,12.99718669,5.3,2.696650267,545.2,1016.5,10.3,13.7,360.6,34.2214911,8.844916299,9.102770924,41.55995343,NA,7.966382628,15.4,26.57137716,24.3,NA,NA,NA,14,15.41748596,NA,NA,NA,NA,6.96609509,4.230769231,0.909090909,23.00594848,51.86531117,22.96824536,11.87015606,0.723005575,1.004796603,1254.663625,16.03559299,NA,NA,13.93752784,54.62711199,0.830592839,39.57458392,27.63793584,21.42522166,43.44822435,31.91956901,24058,42.70376922,18.01518164,11.22214103,40.63290944,NA,-0.147794156,0.4757,46.38990494,55.60473469,51.82880291,45.4493249,67.81292911,1.975982161,0.46956107,9.724044906,2.154949913,81.76179733,NA,63.28767123,6.575342466,15.4011747,2310.515335,24.86896732,10.70989358,42.4093249,NA,NA,NA,8.662586502,NA,NA,NA,16.83850982,26.51018025,NA,8954.798795,NA,NA
"Houston",4835000,2014,NA,25.77345707,878.3556208,76.64280366,28.3940121,15.57302813,53.3,60.70782374,9.878812728,20.9,189.0567536,27.57900016,42.20150275,264.636555,196.9137112,32.3,11.8,33.6,18,28.9,66.6,21.5,43.4,34.2,32.7,23.6,18.1,45,16.33671158,7.2,7.421200445,629.8,556.6,8.2,33.6,160,32.67451318,6.198172993,8.833862268,61.76020965,24.2,5.681254094,16,11.89126395,17,11.3,31,23.4,11.7,10.9344351,29.9,16.1,9.1,13.4,15.33604565,1.419648832,NA,9.376061055,45.14118975,15.92785092,13.51584541,0.919741416,1.807219584,991.3812714,12.79533484,15.7,31.3,13.17001203,44.53651343,1.245348643,42.27813318,29.80250467,22.88929256,46.97328323,35.45036435,27938,46.45852544,15.50438151,8.909155667,44.19877691,NA,-0.072532396,0.5259,57.70442363,70.02931911,45.16635614,61.2542531,47.70047983,2.049505736,0.520747158,9.624440091,4.301866916,75.87939108,NA,55.61643836,2.191780822,14.24486259,3615.787438,25.28902374,9.469148353,74.47817977,NA,NA,NA,28.38839514,NA,NA,NA,18.02620757,25.18616317,NA,8145.073513,NA,NA
"Fort Worth",4827000,2014,NA,29.53164506,797.3356186,77.69729584,23.01509148,11.9643955,55,61.56281112,10.20465848,19,167.8228999,23.38936311,40.98421569,244.2778931,170.5620209,30.6,11.1,34,18,27.4,58,15.8,47.6,42.9,31.7,26.2,17.8,51,12.00141991,4,2.872726096,297.5,444.7,8.4,28.1,137.4,32.21545698,8.410415857,8.313888607,39.76689197,22,3.669169341,16.5,9.044084219,18.8,9,28.1,19.1,11.7,10.83378967,29,11.6,8.8,12.9,9.477945366,1.727410782,NA,12.86725854,30.4169282,10.78256875,10.44010369,0.714775029,0.448602728,525.35,6.378457625,12.5,23.8,9.507494935,57.74014073,0.731897407,36.61346883,26.65476844,19.29778579,41.34301875,26.51497103,24726,52.40103539,15.35792386,8.618700699,41.75774497,NA,-0.037566386,0.4579,45.56188677,57.82110598,37.70484683,50.45095852,65.0474034,1.245023213,0.179092464,6.501316553,0.958705245,81.83663203,NA,36.43835616,4.109589041,15.09684474,2291.138441,28.85162984,8.641450448,59.06202758,NA,NA,NA,17.48917571,NA,NA,NA,15.12599062,20.64115686,NA,6563.242564,NA,NA
"El Paso",4824000,2014,NA,35.76464094,715.4564784,79.15737718,25.46134793,11.86758276,54,67.39106514,12.73396931,NA,146.7669474,19.52777931,23.50929118,199.3691473,147.5698238,30.6,14.8,35,NA,28.7,NA,NA,NA,NA,NA,NA,NA,33,9.850563231,5.2,2.121131965,298.1,598.3,3.6,0,82.7,18.29330758,4.64838517,8.427628154,55.04561868,NA,4.306809298,16.5,10.52579797,15.7,NA,NA,NA,11.2,10.59013382,NA,NA,NA,NA,14.06811674,2.399307059,NA,8.916602571,33.18504341,8.060663977,11.40710142,0.919370474,2.841912166,392.6364856,2.782520063,NA,NA,7.664415576,59.33360795,0.685385458,40.5781878,22.72032253,21.47836676,48.79081728,29.91441044,20050,42.26921141,23.0211909,8.627381612,40.90332044,NA,-0.150066365,0.4703,37.09415929,38.60278486,38.2063909,39.04930364,60.78251764,1.811329532,0.134468685,8.353700398,1.888376454,79.90020243,NA,49.8630137,2.465753425,15.9206371,2624.130308,27.98135482,11.61740356,85.23077291,NA,NA,NA,24.85954154,NA,NA,NA,15.05540709,20.26774655,NA,5811.46292,NA,NA
"Detroit",2622000,2014,NA,31.40129927,953.5355985,72.73655841,18.97971349,5.368310054,47.6,67.23106445,19.61817214,22.7,186.8429155,26.60029539,50.98575249,354.2230373,290.1012377,46.7,17.9,44.8,23,36.3,75.5,21.3,50.6,33.3,37.7,20.7,17.2,45,21.17475679,2.3,5.324617655,437.6,807.1,12,47,234,37.37050685,12.99514639,13.59331665,46.99163235,15.3,13.45736147,13.5,23.51852799,29.6,3.4,19.5,17.1,17.2,7.981576014,29.2,12.6,16.3,17.3,28.05011903,4.172171969,0.919808924,57.93602731,51.92753695,35.4754289,11.52263626,0.555686451,0.712585011,1988.625576,36.84960535,12,30.9,30.02725171,50.69454006,0.972599019,44.22791572,13.11029743,39.81254142,64.43074893,56.19258572,14984,25.46017459,42.72749088,27.10190718,53.07776665,NA,-0.421043521,0.501,52.51003159,59.21580567,76.2389562,62.6888184,51.04771005,3.275180959,0.445098761,24.60571919,8.904428904,69.31517605,NA,62.73972603,3.561643836,22.65644362,5012.144844,25.5637822,12.07039602,91.313807,NA,NA,NA,5.183503322,NA,NA,NA,17.524632,30.13008399,NA,11593.62198,NA,NA
"Denver",820000,2014,NA,18.82605989,726.9388933,78.66260417,15.90420231,8.745506803,62.6,73.26820908,9.651362103,NA,152.6068377,18.98536348,30.43183922,195.9445856,146.2556338,25,6.9,19.4,NA,16.1,NA,NA,NA,NA,NA,NA,NA,49,13.05061269,3.5,3.333476744,974.2,892.4,13.6,0,162.8,11.07495187,5.58637084,9.112071832,32.621351,NA,11.71676928,21.3,18.24814018,17.7,NA,NA,NA,10.3,14.92018985,NA,NA,NA,NA,18.49199663,0.807620625,0.238144543,27.47811605,52.03661096,9.748492698,8.978391537,1.240121546,1.010815078,598.6295996,5.268008516,NA,NA,6.733786611,49.74765176,1.010145132,54.99566098,43.73060331,18.34013194,38.21840098,27.67064562,34423,51.74540866,11.8260568,7.764756454,33.18316255,NA,-0.008537044,0.5058,47.81256017,53.68665816,40.09617675,55.92828709,50.50659191,4.476928443,2.404658286,11.67221292,6.918889411,69.67109952,NA,46.57534247,0.821917808,9.884377283,4142.328633,21.06545362,10.57627525,47.14528927,NA,NA,NA,16.04744255,NA,NA,NA,15.08428155,26.58383029,NA,6079.75928,NA,NA
"Dallas",4819000,2014,NA,18.81821597,800.1413273,78.12651114,29.47854906,16.024825,52.8,59.68668733,9.67313355,19,163.4848118,19.98517136,36.81996552,251.4624842,186.5619383,31.8,11.8,34,15.3,29.7,63,16,48.2,34.5,43.1,27,NA,53,14.63597269,6.6,5.654961491,782.4,593.7,11.9,10,200,32.19101592,7.30741906,8.743758861,56.33585849,25,6.147595114,16.5,13.71436201,18.6,14.7,35.4,19.5,12.2,9.59293561,32.8,10.7,9.3,12.9,14.49174638,2.470571138,NA,11.99083972,38.47392064,11.97228843,11.09163528,1.127300821,-0.052694751,664.6515707,9.319770617,14.4,37.2,11.15273145,42.96440008,1.327508352,37.87726476,29.72204371,24.07244617,49.84485624,37.53015923,27917,44.32739181,16.43953703,8.876594633,43.74405795,NA,-0.097039365,0.5378,55.25300754,65.44484416,47.75163339,58.43511915,53.97034191,1.836552862,0.214943421,9.965967987,4.143727812,76.97938623,NA,41.09589041,1.095890411,15.06028864,3644.397083,25.9227952,9.229684485,70.72091927,NA,NA,NA,24.23308904,NA,NA,NA,15.19245214,23.92790814,NA,6774.423237,NA,NA
"Columbus",3918000,2014,NA,29.51341267,840.0025008,76.57762172,14.44496783,6.268412526,62.8,67.24596975,11.90960816,NA,174.1755578,23.43652809,52.03413801,245.3726404,181.3225659,30.2,10.5,33.9,NA,25.7,NA,NA,NA,NA,NA,NA,NA,48,20.11504603,4,2.197847682,417.3,661.3,18.8,42.4,234.5,25.45688408,8.220510025,9.76654924,30.21806854,NA,15.8718813,18.8,22.2964402,22.5,NA,NA,NA,14,10.83786679,NA,NA,NA,NA,21.00904649,0.803287876,0.228843639,18.03741065,46.78472407,13.93877176,7.515432879,0.711397036,0.219656328,549.2223863,9.958284139,NA,NA,12.60590106,45.94659297,1.176439939,41.58673723,33.35360951,22.3260007,42.48078756,32.41999218,24721,45.37446135,18.8136754,8.929065976,35.34423351,NA,-0.12649927,0.4518,43.30145244,56.72925124,39.37420235,41.93810337,64.31552011,2.924964907,0.751832498,9.912301436,3.115559718,80.43427492,NA,40.2739726,1.643835616,14.27844143,3738.753769,23.05186448,8.985975617,41.56190767,NA,NA,NA,11.2656923,NA,NA,NA,15.90561439,22.15471504,NA,7339.036752,NA,NA
