Overall Rank,City,State,Total Score,Emotional and Physical Well-being Rank,Income and Employment Rank,Community and Environment Rank
139,Tucson,Arizona,46.7,147,89,115
140,Louisville,Kentucky,46.61,143,163,71
141,Oklahoma City,Oklahoma,46.56,148,155,61
142,El Paso,Texas,46.43,133,141,131
143,Little Rock,Arkansas,46.4,142,152,100
144,Indianapolis,Indiana,46.39,136,169,88
145,Brownsville,Texas,46.38,154,59,113
146,Cincinnati,Ohio,45.95,145,119,124
147,Amarillo,Amarillo,45.86,153,91,111
148,Rochester,New York,45.75,141,76,173
149,Knoxville,Tennessee,45.71,169,25,56
150,Laredo,Texas,45.52,160,6,153
151,Buffalo,New York,45.47,140,105,160
152,Las Vegas,Nevada,45.38,135,171,121
153,Casper,Wyoming,45.21,144,100,168
154,Springfield,Missouri,45.16,165,65,80
155,North Las Vegas,Nevada,44.95,146,176,95
156,New Orleans,Louisiana,44.87,152,58,154
157,Tulsa,Oklahoma,44.86,162,95,104
158,Corpus Christi,Texas,44.55,151,64,156
159,Salem,Oregon,44.1,137,54,179
160,Baltimore,Maryland,43.78,139,165,163
161,Philadelphia,Pennsylvania,43.57,156,136,137
162,Charleston,West Virginia,43.26,178,12,67
163,Lubbock,Texas,43.17,164,47,155
164,St. Louis,Missouri,42.99,149,166,147
165,San Antonio,Texas,42.31,155,130,169
166,Columbus,Georgia,40.91,168,142,148
167,Fayetteville,North Carolina,40.56,170,146,152
168,Fort Smith,Arkansas,40.1,181,9,106
169,Baton Rouge,Louisiana,40.1,167,114,171
170,Memphis,Tennessee,39.85,158,181,159
171,Augusta,Georgia,39.44,163,156,178
172,Gulfport,Mississippi,39.25,173,162,146
173,Akron,Ohio,39.15,166,145,175
174,Mobile,Alabama,38.97,175,172,107
175,Jackson,Mississippi,38.79,161,178,177
176,Toledo,Ohio,37.51,174,164,166
177,Huntington,West Virginia,37.31,182,18,22
178,Shreveport,Louisiana,36.54,179,173,140
179,Birmingham,Alabama,36.22,171,148,180
180,Montgomery,Alabama,35.7,177,177,167
181,Cleveland,Ohio,34.83,172,161,182
182,"Detroit, MI",Michigan,31.43,180,182,176
